AFRICAM,R1A,Freshman Composition
R1A,Freshman Composition,AFRICAM
Freshman Composition,AFRICAM,R1B
AFRICAM,R1B,Freshman Composition
R1B,Freshman Composition,AFRICAM
Freshman Composition,AFRICAM,4A
AFRICAM,4A,Africa: History and Culture
4A,Africa: History and Culture,AFRICAM
Africa: History and Culture,AFRICAM,5A
AFRICAM,5A,African American Life and Culture in the United Sta...
5A,African American Life and Culture in the United Sta...,AFRICAM
African American Life and Culture in the United Sta...,AFRICAM,10A
AFRICAM,10A,Intermediate Swahili
10A,Intermediate Swahili,AFRICAM
Intermediate Swahili,AFRICAM,11A
AFRICAM,11A,Elementary Swahili
11A,Elementary Swahili,AFRICAM
Elementary Swahili,AFRICAM,15A
AFRICAM,15A,Advanced Swahili
15A,Advanced Swahili,AFRICAM
Advanced Swahili,AFRICAM,24
AFRICAM,24,Freshman Seminars
24,Freshman Seminars,AFRICAM
Freshman Seminars,AFRICAM,27AC
AFRICAM,27AC,Lives of Struggle: Minorities in a Majority Culture
27AC,Lives of Struggle: Minorities in a Majority Culture,AFRICAM
Lives of Struggle: Minorities in a Majority Culture,AFRICAM,30A
AFRICAM,30A,Elementary Chichewa
30A,Elementary Chichewa,AFRICAM
Elementary Chichewa,AFRICAM,98BC
AFRICAM,98BC,Berkeley Connect
98BC,Berkeley Connect,AFRICAM
Berkeley Connect,AFRICAM,99
AFRICAM,99,Supervised Independent Studies for Freshmen and Sop...
99,Supervised Independent Studies for Freshmen and Sop...,AFRICAM
Supervised Independent Studies for Freshmen and Sop...,AFRICAM,100
AFRICAM,100,Black Intellectual Thought
100,Black Intellectual Thought,AFRICAM
Black Intellectual Thought,AFRICAM,111
AFRICAM,111,"Race, Class, and Gender in the United States"
111,"Race, Class, and Gender in the United States",AFRICAM
"Race, Class, and Gender in the United States",AFRICAM,116
AFRICAM,116,Slavery and African American Life Before 1865
116,Slavery and African American Life Before 1865,AFRICAM
Slavery and African American Life Before 1865,AFRICAM,126
AFRICAM,126,African American Women's History
126,African American Women's History,AFRICAM
African American Women's History,AFRICAM,C133A
AFRICAM,C133A,"Race, Identity, and Culture in Urban Schools"
C133A,"Race, Identity, and Culture in Urban Schools",AFRICAM
"Race, Identity, and Culture in Urban Schools",AFRICAM,C134
AFRICAM,C134,Information Technology and Society
C134,Information Technology and Society,AFRICAM
Information Technology and Society,AFRICAM,137
AFRICAM,137,Multicultural Communities
137,Multicultural Communities,AFRICAM
Multicultural Communities,AFRICAM,139
AFRICAM,139,Selected Topics of African American Social Organiza...
139,Selected Topics of African American Social Organiza...,AFRICAM
Selected Topics of African American Social Organiza...,AFRICAM,C143C
AFRICAM,C143C,Black Theatre Workshop
C143C,Black Theatre Workshop,AFRICAM
Black Theatre Workshop,AFRICAM,144
AFRICAM,144,Introduction to Cultural Studies: Black Visual Cult...
144,Introduction to Cultural Studies: Black Visual Cult...,AFRICAM
Introduction to Cultural Studies: Black Visual Cult...,AFRICAM,158A
AFRICAM,158A,Poetry for the People: The Writing and Teaching of ...
158A,Poetry for the People: The Writing and Teaching of ...,AFRICAM
Poetry for the People: The Writing and Teaching of ...,AFRICAM,159
AFRICAM,159,Special Topics in African American Literature
159,Special Topics in African American Literature,AFRICAM
Special Topics in African American Literature,AFRICAM,H195A
AFRICAM,H195A,Senior Honors Thesis
H195A,Senior Honors Thesis,AFRICAM
Senior Honors Thesis,AFRICAM,H195B
AFRICAM,H195B,Senior Honors Thesis
H195B,Senior Honors Thesis,AFRICAM
Senior Honors Thesis,AFRICAM,197
AFRICAM,197,Field Study in African American Life
197,Field Study in African American Life,AFRICAM
Field Study in African American Life,AFRICAM,198BC
AFRICAM,198BC,Berkeley Connect
198BC,Berkeley Connect,AFRICAM
Berkeley Connect,AFRICAM,199
AFRICAM,199,Supervised Independent Study and Research
199,Supervised Independent Study and Research,AFRICAM
Supervised Independent Study and Research,AFRICAM,240
AFRICAM,240,Special Topics in Cultural Studies of the Diaspora
240,Special Topics in Cultural Studies of the Diaspora,AFRICAM
Special Topics in Cultural Studies of the Diaspora,AFRICAM,241
AFRICAM,241,Special Topics in Development Studies of the Diaspo...
241,Special Topics in Development Studies of the Diaspo...,AFRICAM
Special Topics in Development Studies of the Diaspo...,AFRICAM,296
AFRICAM,296,Directed Dissertation Research
296,Directed Dissertation Research,AFRICAM
Directed Dissertation Research,AFRICAM,C375
AFRICAM,C375,Critical Pedagogy: Instructor Training
C375,Critical Pedagogy: Instructor Training,AFRICAM
Critical Pedagogy: Instructor Training,AFRICAM,602
AFRICAM,602,Individual Study for Doctoral Students
602,Individual Study for Doctoral Students,ENVECON
Individual Study for Doctoral Students,ENVECON,C1
ENVECON,C1,Introduction to Environmental Economics and Policy
C1,Introduction to Environmental Economics and Policy,ENVECON
Introduction to Environmental Economics and Policy,ENVECON,100
ENVECON,100,Microeconomic Theory with Application to Natural Re...
100,Microeconomic Theory with Application to Natural Re...,ENVECON
Microeconomic Theory with Application to Natural Re...,ENVECON,C102
ENVECON,C102,Natural Resource Economics
C102,Natural Resource Economics,ENVECON
Natural Resource Economics,ENVECON,C115
ENVECON,C115,Modeling and Management of Biological Resources
C115,Modeling and Management of Biological Resources,ENVECON
Modeling and Management of Biological Resources,ENVECON,C118
ENVECON,C118,Introductory Applied Econometrics
C118,Introductory Applied Econometrics,ENVECON
Introductory Applied Econometrics,ENVECON,145
ENVECON,145,Health and Environmental Economic Policy
145,Health and Environmental Economic Policy,ENVECON
Health and Environmental Economic Policy,ENVECON,C151
ENVECON,C151,Economic Development
C151,Economic Development,ENVECON
Economic Development,ENVECON,152
ENVECON,152,Advanced Topics in Development and International Tr...
152,Advanced Topics in Development and International Tr...,ENVECON
Advanced Topics in Development and International Tr...,ENVECON,C180
ENVECON,C180,Ecological Economics in Historical Context
C180,Ecological Economics in Historical Context,ENVECON
Ecological Economics in Historical Context,ENVECON,C181
ENVECON,C181,International Trade
C181,International Trade,ENVECON
International Trade,ENVECON,195
ENVECON,195,Senior Thesis
195,Senior Thesis,ENVECON
Senior Thesis,ENVECON,H196
ENVECON,H196,Honors Research
H196,Honors Research,ENVECON
Honors Research,ENVECON,197
ENVECON,197,Field Study in Environmental Economics and Policy
197,Field Study in Environmental Economics and Policy,ENVECON
Field Study in Environmental Economics and Policy,ENVECON,198
ENVECON,198,Directed Group Studies for Advanced Undergraduates
198,Directed Group Studies for Advanced Undergraduates,ENVECON
Directed Group Studies for Advanced Undergraduates,ENVECON,199
ENVECON,199,Supervised Independent Study and Research
199,Supervised Independent Study and Research,"A,RESEC"
Supervised Independent Study and Research,"A,RESEC",201
"A,RESEC",201,"Production, Industrial Organization, and Regulation..."
201,"Production, Industrial Organization, and Regulation...","A,RESEC"
"Production, Industrial Organization, and Regulation...","A,RESEC",210
"A,RESEC",210,Probability and Statistics
210,Probability and Statistics,"A,RESEC"
Probability and Statistics,"A,RESEC",213
"A,RESEC",213,Applied Econometrics
213,Applied Econometrics,"A,RESEC"
Applied Econometrics,"A,RESEC",241
"A,RESEC",241,"Economics and Policy of Production, Technology and ..."
241,"Economics and Policy of Production, Technology and ...","A,RESEC"
"Economics and Policy of Production, Technology and ...","A,RESEC",C251
"A,RESEC",C251,Microeconomics of Development
C251,Microeconomics of Development,"A,RESEC"
Microeconomics of Development,"A,RESEC",C253
"A,RESEC",C253,International Economic Development Policy
C253,International Economic Development Policy,"A,RESEC"
International Economic Development Policy,"A,RESEC",265
"A,RESEC",265,Advanced Topics in Environmental and Resource Econo...
265,Advanced Topics in Environmental and Resource Econo...,"A,RESEC"
Advanced Topics in Environmental and Resource Econo...,"A,RESEC",298
"A,RESEC",298,Special Study for Graduate Students
298,Special Study for Graduate Students,"A,RESEC"
Special Study for Graduate Students,"A,RESEC",299
"A,RESEC",299,Individual Research
299,Individual Research,"A,RESEC"
Individual Research,"A,RESEC",375
"A,RESEC",375,Professional Preparation: Teaching of Environmental...
375,Professional Preparation: Teaching of Environmental...,"A,RESEC"
Professional Preparation: Teaching of Environmental...,"A,RESEC",400
"A,RESEC",400,Professional Training in Research Methodology
400,Professional Training in Research Methodology,"A,RESEC"
Professional Training in Research Methodology,"A,RESEC",602
"A,RESEC",602,Individual Study for Doctoral Students
602,Individual Study for Doctoral Students,AMERSTD
Individual Study for Doctoral Students,AMERSTD,10
AMERSTD,10,Introduction to American Studies
10,Introduction to American Studies,AMERSTD
Introduction to American Studies,AMERSTD,101
AMERSTD,101,Examining U.S. Cultures in Time
101,Examining U.S. Cultures in Time,AMERSTD
Examining U.S. Cultures in Time,AMERSTD,101AC
AMERSTD,101AC,Examining U.S. Cultures in Time
101AC,Examining U.S. Cultures in Time,AMERSTD
Examining U.S. Cultures in Time,AMERSTD,102
AMERSTD,102,Examining U.S. Cultures in Place
102,Examining U.S. Cultures in Place,AMERSTD
Examining U.S. Cultures in Place,AMERSTD,H110
AMERSTD,H110,Honors Seminar: Special Topics in American Studies
H110,Honors Seminar: Special Topics in American Studies,AMERSTD
Honors Seminar: Special Topics in American Studies,AMERSTD,C111E
AMERSTD,C111E,Topics in American Studies
C111E,Topics in American Studies,AMERSTD
Topics in American Studies,AMERSTD,C134
AMERSTD,C134,Information Technology and Society
C134,Information Technology and Society,AMERSTD
Information Technology and Society,AMERSTD,C171
AMERSTD,C171,The American Designed Landscape Since 1850
C171,The American Designed Landscape Since 1850,AMERSTD
The American Designed Landscape Since 1850,AMERSTD,191
AMERSTD,191,Senior Seminar
191,Senior Seminar,AMERSTD
Senior Seminar,AMERSTD,H195
AMERSTD,H195,Honors Thesis
H195,Honors Thesis,AHMA
Honors Thesis,AHMA,299
AHMA,299,Special Study
299,Special Study,ANTHRO
Special Study,ANTHRO,2AC
ANTHRO,2AC,Introduction to Archaeology
2AC,Introduction to Archaeology,ANTHRO
Introduction to Archaeology,ANTHRO,3AC
ANTHRO,3AC,Introduction to Social/Cultural Anthropology (Ameri...
3AC,Introduction to Social/Cultural Anthropology (Ameri...,ANTHRO
Introduction to Social/Cultural Anthropology (Ameri...,ANTHRO,R5B
ANTHRO,R5B,Reading and Composition in Anthropology
R5B,Reading and Composition in Anthropology,ANTHRO
Reading and Composition in Anthropology,ANTHRO,24
ANTHRO,24,Freshman Seminar
24,Freshman Seminar,ANTHRO
Freshman Seminar,ANTHRO,98
ANTHRO,98,Directed Group Study
98,Directed Group Study,ANTHRO
Directed Group Study,ANTHRO,107
ANTHRO,107,Evolution of the Human Brain
107,Evolution of the Human Brain,ANTHRO
Evolution of the Human Brain,ANTHRO,112
ANTHRO,112,Special Topics in Biological Anthropology
112,Special Topics in Biological Anthropology,ANTHRO
Special Topics in Biological Anthropology,ANTHRO,121AC
ANTHRO,121AC,American Material Culture
121AC,American Material Culture,ANTHRO
American Material Culture,ANTHRO,122F
ANTHRO,122F,California Archaeology
122F,California Archaeology,ANTHRO
California Archaeology,ANTHRO,128M
ANTHRO,128M,Special Topics in Archaeology/Method
128M,Special Topics in Archaeology/Method,ANTHRO
Special Topics in Archaeology/Method,ANTHRO,136G
ANTHRO,136G,Cultural Policy: Cultural Heritage and Cultural Dip...
136G,Cultural Policy: Cultural Heritage and Cultural Dip...,ANTHRO
Cultural Policy: Cultural Heritage and Cultural Dip...,ANTHRO,C136K
ANTHRO,C136K,Who Owns the Past? Cultural Heritage in a Digital A...
C136K,Who Owns the Past? Cultural Heritage in a Digital A...,ANTHRO
Who Owns the Past? Cultural Heritage in a Digital A...,ANTHRO,138A
ANTHRO,138A,History and Theory of Ethnographic Film
138A,History and Theory of Ethnographic Film,ANTHRO
History and Theory of Ethnographic Film,ANTHRO,140
ANTHRO,140,The Anthropology of Food
